StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q13,Q1,Q8,Q9,Q11,Q3,Q4,Q14
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your unique identifier below,In which method did you feel more confident in the estimates you produced?,Which method was easier and more intuitive for you to use?,Which method better allowed you to effectively apply your expertise?,"If asked to participate in a future expert elicitation exercise for flight height estimates, which elicitation method would you prefer to use?","Based on your experience responding to the surveys, what do you think are the relative strengths of these two methods to elicit data of this type?","Based on your experience responding to the surveys, what do you think are the relative limitations of these two methods to elicit data of this type?",Do you have any other comments?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID14_TEXT""}"
2026-02-23 15:06:11,2026-02-23 15:10:07,IP Address,130.118.63.75,100,235,True,2026-02-23 15:10:07,R_3nbAaOG9RIKpP1L,,,,,37.0313,-122.1198,anonymous,EN,caau14,Somewhat favor Survey 1 (direct method),No difference between methods,No difference between methods,Direct method,"i think that especially for the gannet, but maybe also the others that there was limited options for the indirect method - more species' data would have been helpful here?",as long as all available data are made available in either approach - the responder could see that and then make a more informed decision?,"nope - thanks for taking this on, and for inviting me! Can't wait to see what you make of this!"
2026-02-23 15:06:15,2026-02-23 15:10:44,IP Address,72.12.235.230,100,268,True,2026-02-23 15:10:44,R_3gvZWcfPdzLd4pc,,,,,48.4349,-122.2023,anonymous,EN,K7V9X2,Strongly favor Survey 1 (direct method),Strongly favor Survey 1 (direct method),Strongly favor Survey 1 (direct method),Direct method,"It seemed like the data in the direct method was pretty information rich. I can't think of a strength for the second method. ","It was difficult to consider the size/morphology/behavioral differences between the target species and the species available to select and to weigh them accordingly in the indirect method. ",No.
2026-02-23 14:49:10,2026-02-23 15:11:49,IP Address,98.207.120.155,100,1359,True,2026-02-23 15:11:50,R_10divUGYFtH5zM9,,,,,38.4426,-122.7547,anonymous,EN,"jj69j7
",Somewhat favor Survey 1 (direct method),Somewhat favor Survey 1 (direct method),Somewhat favor Survey 1 (direct method),No preference,"I felt more confident in the first method because the mean and 95% confidence interval allowed me to directly estimate the likely range of time within turbine risk height. It was also easier and more intuitive, and it better allowed me to apply my knowledge of species behavior and variability. The second method was more difficult because it relied on indirect judgment using analog species, which often did not fully represent the expected behavior of the focal species.","The main limitation of the direct method is the limited availability of studies to inform estimates of flight height and risk, which can increase uncertainty and reliance on expert judgment. For the analog method, the results depend heavily on the expert’s ability to identify species with truly comparable flight behavior. In many cases, no analog fully represents the focal species, which can introduce bias or mischaracterize risk.",no
2026-02-23 15:06:12,2026-02-23 15:13:08,IP Address,76.209.241.43,100,416,True,2026-02-23 15:13:09,R_7XaHprnfxORPufz,,,,,37.0313,-122.1198,anonymous,EN,KMZ831,No difference between methods,Somewhat favor Survey 1 (direct method),No difference between methods,Direct method,"The direct method gave examples from the species or similar species, which I thought was more intuitive. The indirect method didn't ask for flight height range. ","The indirect method didn't always have a species with a similar value to the target species. The direct method was more complex because the example species for each target species were presented with flight height ranges that were different than what we were asked to estimate. ","I am definitely not an expert in flight height! "
2026-02-23 15:06:11,2026-02-23 15:13:11,IP Address,73.169.140.236,100,420,True,2026-02-23 15:13:11,R_5LGACNrYJ4JDEvn,,,,,47.2573,-122.4921,anonymous,EN,bob495,Strongly favor Survey 2 (indirect method),Strongly favor Survey 2 (indirect method),Strongly favor Survey 2 (indirect method),Indirect method,"The direct method provided an opportunity to quantify uncertainty in the ""experts"" knowledge of the species and confidence in the estimate given. The indirect method was very useful when a very similar species existed to directly compare to. ","The direct method didn't allow for fine-scale estimates on the low end of % risk of collision. The indirect method was less useful when representative species didn't match the behavior of the focal species well (but this was rare, and blending several species that spanned different behaviors likely accounted for that). ","Very nicely done! "
2026-02-23 15:06:37,2026-02-23 15:13:22,IP Address,72.199.133.82,100,405,True,2026-02-23 15:13:23,R_18Sv6TxymbJ5y9j,,,,,33.1366,-117.0611,anonymous,EN,C1A2T3,Strongly favor Survey 1 (direct method),Somewhat favor Survey 1 (direct method),Strongly favor Survey 1 (direct method),Direct method,"Method 1 was easier to digest the known data and apply our knowledge of the species, we could adjust the confidence intervals based on both knowledge types and I think results in better estimates. Method 2 was faster. ","Method 1, you're limited by what data are available to establish a baseline or contribute to your opinion. Method 2 you are limited by what species were presented, and even though there may be data on better suited species to compare with, those are available on the survey. For method two, you also can't identify what parts of that species best represent the species under question, for example, maybe it's flight height is similar but it's foraging method or migration length is different which would impact how often it winds up in the strike zone. ","I think this one is hard to have opinions on, unless it comes from folks that spend time at-sea observing different species. "
2026-02-23 15:06:55,2026-02-23 15:14:16,IP Address,67.160.239.192,100,441,True,2026-02-23 15:14:16,R_5wissWu6dnwhENX,,,,,38.3456,-122.6919,anonymous,EN,w6559*,Strongly favor Survey 2 (indirect method),Strongly favor Survey 2 (indirect method),Strongly favor Survey 2 (indirect method),Indirect method,"i was able to wrap my head around the indirect method using the concept of size, trophic, and foraging mode ""equivalents"".  the direct method required too much personal knowledge, so i felt lost, that i was ""making stuff up"".  ","getting at % time spent in various height zones is not easy concept to comprehend, let alone predict from one species to another, whereas having some data based on species with similar ecology or life history/body size and asking ""does the species in questions probably do the same thing"" made me feel more confident in my responses.    ",looking forward to seeing the results
2026-02-23 15:06:13,2026-02-23 15:14:37,IP Address,161.55.166.115,100,504,True,2026-02-23 15:14:37,R_5PXJo6LlFSjMvqm,,,,,46.1879,-123.8312,anonymous,EN,BRD703,Somewhat favor Survey 1 (direct method),No difference between methods,Somewhat favor Survey 1 (direct method),Direct method,"The first method is pretty intuitive and straightforward, so that is a strength. The second method was also reasonably intuitive, especially given the format of data for the non-target species. ","It was a little difficult to understand the data format for the reference data for the first method.To me that was the biggest barrier. The second one required a little more thinking for species where a close taxonomic relative either wasn't available or wasn't a good analog.  ","No, except to say that my confidence level in estimates for method 2 (indirect) felt a bit lower perhaps just because we weren't asked to specify one for method 2. "
2026-02-23 15:06:24,2026-02-23 15:16:12,IP Address,158.68.216.30,100,588,True,2026-02-23 15:16:13,R_1eLhonHks7zcx0i,,,,,39.6941,-105.1172,anonymous,EN,603SBI,Strongly favor Survey 2 (indirect method),Strongly favor Survey 2 (indirect method),Somewhat favor Survey 2 (indirect method),Indirect method,The direct method might result in higher data quality if the participants are versed in the data interpretation process.  The indirect method provides a more user-friendly format that allows of the uncertainties/lack of information on the flight heights and percentage time in the RSZ,"Direct method has confidence intervals that were hard to interpret, also not a lot of data. Indirect method has some ""guess"" work in order to match up with the respective spp provided. ","I generally found the indirect method much preferred in this exercise. That could be based on my own knowledge and experience with these species. Also, with spp flight heights and the application to RSZ.   "
2026-02-23 15:07:14,2026-02-23 15:21:41,IP Address,158.68.232.73,100,866,True,2026-02-23 15:21:41,R_5pYEAvOQxdMyneK,,,,,37.751,-97.822,anonymous,EN,SL04P4,Somewhat favor Survey 1 (direct method),Somewhat favor Survey 1 (direct method),Somewhat favor Survey 1 (direct method),Direct method,"Survey 1 allowed for more precision in providing estimates. Due to the variability and uncertainty in flight heights, the questions helped guide a reasonably confident estimate. Survey 2 was quicker and the reliance on surrogates was great if there were reasonable ones available.","Flight heights are inherently tricky to estimate and not sure what the best method is to elicit that type of data. While Survey 1 allowed for a more precise and experience-based estimate, there is still a lot of uncertainty with the limited amount of data available. Not a limitation of the survey technique so Survey 1 may be the best way to elicit responses. Survey 2 is limited by the surrogates available. Some of the species we had to evaluate did not have great surrogates available to choose from.","Thanks for inviting me. "
2026-02-23 15:06:14,2026-02-23 15:22:35,IP Address,128.193.152.197,100,981,True,2026-02-23 15:22:35,R_5GephCqq0LqJy4G,,,,,44.5928,-123.2746,anonymous,EN,WILKE4,Somewhat favor Survey 2 (indirect method),Somewhat favor Survey 1 (direct method),Somewhat favor Survey 2 (indirect method),Indirect method,"The direct method allowed me to better recall the general flight style and behavior I'd observed during at-sea surveys; for instance, I felt better able to say that species X is a low-flier, generally, and only in certain conditions or during certain behaviors would fly above 25 m. The indirect measure was great for when I felt I had less of a grasp on a species' behavior, directly, and had less personal information to work from; I've never seen a Common Scoter, for instance, but have seen many thousands of other scoter species and felt fairly confident assigning them as substitutes. Substituting data from a bird that's related or has similar characteristics provided valuable context and made my answers feel less like guesswork.","The direct method felt more constrained by my personal experiences, which of course may not be representative of other survey work or the overall picture. Even though I considered the other data presented, picking numbers like this still felt a little like guesswork. The indirect method - while I preferred it here, generally - felt relatively less accurate for species like NOGA, without clear analogues in the literature to draw from. For these, I almost would have preferred the picking a range of values that corresponds to how I've personally seen gannets flying in the past.",No
