StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q13,Q1,Q8,Q9,Q11,Q3,Q4,Q14
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Please enter your unique identifier below,In which method did you feel more confident in the estimates you produced?,Which method was easier and more intuitive for you to use?,Which method better allowed you to effectively apply your expertise?,"If asked to participate in a future expert elicitation exercise for species distribution estimates, which elicitation method would you prefer to use?","Based on your experience responding to the surveys, what do you think are the relative strengths of these two methods to elicit data of this type?","Based on your experience responding to the surveys, what do you think are the relative limitations of these two methods to elicit data of this type?",Do you have any other comments?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID14_TEXT""}"
2/23/26 11:32,2/23/26 11:38,100,347,TRUE,2/23/26 11:38,R_7MATCUmcdRlRTLb,,,,,anonymous,EN,K7V9X2,Somewhat favor Survey 1 (direct method),Somewhat favor Survey 2 (indirect method),No difference between methods,No preference,"The direct method shows the immediate production a map, while the indirect method helps to leverage existing knowledge about other species. ","A limitation of the indirect method was that I could not actually ""see"" the map that is produced. A limitation of the direct method was that I did not have time to be as fine-scale and exact as perhaps was needed. ",
2/23/26 11:32,2/23/26 11:39,100,402,TRUE,2/23/26 11:39,R_6EQ3LnbXHbHdClI,,,,,anonymous,EN,KMZ831,Strongly favor Survey 2 (indirect method),Strongly favor Survey 2 (indirect method),Somewhat favor Survey 2 (indirect method),Indirect method,"The direct method allows you to be much more specific - this is great if you're truly an expert in the species, but if you just have general knowledge of species distributions for that species, it can be really difficult to estimate the range - especially the 50%. The indirect method allows folks who aren't necessarily experts in a specific species to apply their overall knowledge in selecting species distribution maps they find similar to the target species. ","I think the direct method has greater limitations because you need to be more precise (good if you have the ability to be, bad if you're not an expert in that species). For the indirect method, the limitation is in determining the % for each similar species. It's not hard to decide which species distributions are similar, it's more difficult to assign percentages and feel like you're getting those correct. ","I was really hesitant at first to participate because the direct method felt very overwhelming since I'm not an ""expert"" in any of the target species. I much prefer the indirect method. "
2/23/26 11:32,2/23/26 11:39,100,415,TRUE,2/23/26 11:39,R_5aWtsPNyH93D2c9,,,,,anonymous,EN,C1A2T3,Somewhat favor Survey 2 (indirect method),Strongly favor Survey 2 (indirect method),Somewhat favor Survey 1 (direct method),No preference,"Type 1 captured the bounds of particular habitats, while Type 2 provided context for habitat preferences. For example, by drawing the bounds we can provide the limits of their densities, but by providing what functional groups and other species ranges can provide information on what depth, SST, and other characteristics of their preferred habitat that can help with developing SDMs.","Yes, Type 1 is too coarse for any fine scale spatial planning. Type 2 relies on the data quality of other species, which may not be robust, and you will miss any unique habitat/life history characteristics of the species under investigation.","I think there should be an additional step. Where, either using Type 1 or 2, a species distribution map is made of the 3 bins (range, 95, 50) and then they are shared with the experts to evaluate how well they did, and if there are any mistakes (perhaps it captured an area that's well known for low densities, or failed to capture an offshore seamount, etc). "
2/23/26 11:32,2/23/26 11:39,100,433,TRUE,2/23/26 11:39,R_57k6MPQ7z4UEXDP,,,,,anonymous,EN,caau14,Somewhat favor Survey 2 (indirect method),Somewhat favor Survey 2 (indirect method),Somewhat favor Survey 1 (direct method),No preference,"direct method allowed me to visualize the habitat layers to hone in on important features and to highlight what I thought were important hotspot areas using the 50% core polygon; being familiar with the species distributions in Leirness - the indirect approach allowed me to consider these species of interest while considering co-occurring species (personal observation at sea) and species that share LH traits (affinity for shelf break - similar diet, etc.)",i feel a little biassed by having had the opportunity to view the SDMs and be involved in that discussion previously,not at this time - thanks!
2/23/26 11:32,2/23/26 11:40,100,508,TRUE,2/23/26 11:40,R_3U3Bz8JtlVLvuu9,,,,,anonymous,EN,SL04P4,Somewhat favor Survey 1 (direct method),No difference between methods,Somewhat favor Survey 1 (direct method),No preference,"Survey 1 allows for more precision in mapping, especially when it is difficult to find a strong surrogate like Survey 2 relies on. Survey 2 works great when there are good surrogates available. Some of the species were easier to assess and quickly score in Survey 2.",Survey 1 is more labor and computing intensive. It was difficult to generate precise polygons when doing it against a clock in a workshop format. Survey 1 would work better if there was more time to generate polygons. Survey 2 is limited for some species if there are not great surrogates available. Ashy Storm-Petrel was a tough one to use Survey 2 for due to its limited range that does not overlap well with other species.,
2/23/26 11:32,2/23/26 11:41,100,515,TRUE,2/23/26 11:41,R_5I4rZqS66w8mVnH,,,,,anonymous,EN,bob495,Somewhat favor Survey 1 (direct method),Somewhat favor Survey 2 (indirect method),Somewhat favor Survey 1 (direct method),No preference,"The direct method allows for flexibility in defining broad trends in distribution, and for locally breeding species with limited ranges the ability to define specific regions of core use. The indirect method allows for a higher resolution of distributional trends, but is does not do a good job at defining species with limited ranges if a representative species does not exist (example ashy storm-petrel). ","Drawing the polygons is likely heavily biased by the source material (unless that was deliberate?). For species that I was less familiar with, I found myself relying more on eBird sightings to inform my response. ","A combination of both methods, indirect for broad patterns and direct for unique special cases, seems like the best approach. "
2/23/26 11:32,2/23/26 11:41,100,506,TRUE,2/23/26 11:41,R_14E0KcN5HrwhEU9,,,,,anonymous,EN,w6559*,No difference between methods,Somewhat favor Survey 1 (direct method),Strongly favor Survey 1 (direct method),Direct method,"Direct allows for greater precision in estimates, but requires greater knowledge.  Indirect may be better for domain with really poor data/knowledge, and where ""taxonomic similarity"" (my take on method 2) is needed.  We don't really know, though, if method 2 is correct...e.g., if one used Red necked PH for Red PH the answer would be mostly wrong.  I also like the direct approach as it allows for mapping ""hotspots"" of abundance/density, which are very important to protect for conservation. I don't know if the Method1  ""range"" vs ""95% contours"" are different enough to be worth doing both (probably not). ","See above.  Method 1 is based on expertise, whereas Method 2 reflects ""logical guesswork"", and a lot more knowledge, actually, on many species.",I'll be interested to see the results.
2/23/26 11:32,2/23/26 11:42,100,593,TRUE,2/23/26 11:42,R_6RaExK1En74j9Dd,,,,,anonymous,EN,JJ69J7,Somewhat favor Survey 1 (direct method),Somewhat favor Survey 1 (direct method),Somewhat favor Survey 1 (direct method),No preference,"The direct method allows users to apply expert judgment to define areas representing the 95% and 50% distributions based on assumed relationships with covariates such as bathymetry, productivity, temperature, latitude, and distance to shore. While creating these surfaces manually would be challenging, the tool allows users to generate distribution maps that reflect their expert assumptions.

In the second method, users select species with distributions that may resemble the expected pattern for the species of interest. However, no single species may match the desired combination of characteristics, and even using multiple species may not adequately represent the expected distribution.","In the direct method, the main limitation is the user’s ability to accurately delineate the appropriate area. In the indirect method, it can be difficult to select another species’ distribution that adequately represents the expected pattern based on observations.",
